Spot_id,YMD,STN_ID,LAT,LON,Average_temperature,Sum_rainfall,Max_rainfall_1H,Max_rainfall_1H_occur_time,Average_humidity,Average_wind_speed
5502,20250516,108,37.57142,126.9658,22.0,51.3,14.2,1549,85.0,1.87.71607180.04.21709180.050.0029.21.9
5502,20250516,412,37.57047,126.94078,21.2,57.5,21.5,1756,91.1,0.96.91704148.53.31708178.4157.5088.84.0
5502,20250516,419,37.55236,126.98736,20.9,77.0,38.0,1635,91.3,2.011.1231316.17.6231833.367.5168.01.2
5502,20250517,108,37.57142,126.9658,24.3,2.2,2.2,1725,62.0,2.611.71840160.06.01538250.0230.02228.91.9
5502,20250517,412,37.57047,126.94078,24.4,2.5,2.5,1817,63.2,1.07.21522229.63.01244199.4270.00264.94.0
5502,20250517,419,37.55236,126.98736,25.4,4.0,3.5,1823,58.7,1.78.51836216.65.1022252.9202.50151.51.2
5502,20250518,108,37.57142,126.9658,21.0,-99.9,-99.9,0,31.0,2.69.71429200.05.21539270.0270.02278.41.9
5502,20250518,412,37.57047,126.94078,21.1,-99.9,-99.9,1,29.5,0.96.11428223.82.41405328.6315.00322.54.0
5502,20250518,419,37.55236,126.98736,21.0,-99.9,-99.9,1,23.9,1.89.11436266.35.00338285.6247.51263.01.2
5502,20250519,108,37.57142,126.9658,20.9,1.6,0.8,1945,46.0,2.89.81859180.05.71806180.0200.01201.01.9
5502,20250519,412,37.57047,126.94078,20.1,1.0,0.5,2030,44.5,1.56.81953202.23.41739186.2225.00203.84.0
5502,20250519,419,37.55236,126.98736,21.1,1.5,1.0,2045,39.8,1.87.1065693.45.4054279.5202.51111.21.2
5502,20250520,108,37.57142,126.9658,27.3,1.0,0.7,-235,69.0,2.59.31606180.05.21552200.0230.02226.51.9
5502,20250520,412,37.57047,126.94078,26.9,1.0,0.5,1,70.8,0.96.71614230.82.71555203.1202.50213.34.0
5502,20250520,419,37.55236,126.98736,28.0,0.5,0.5,30,67.9,0.95.60729268.51.81737193.2180.00196.41.2
5502,20250521,108,37.57142,126.9658,30.8,-99.9,-99.9,0,54.0,2.18.41839320.04.71848290.0270.01277.01.9
5502,20250521,412,37.57047,126.94078,29.8,-99.9,-99.9,1,54.9,0.96.72121320.22.31644316.9315.00326.34.0
5502,20250521,419,37.55236,126.98736,30.1,-99.9,-99.9,1,51.8,1.78.1121311.65.0122231.2247.51272.51.2
5502,20250522,108,37.57142,126.9658,28.5,0.8,0.7,456,39.0,2.16.6221770.03.81759200.050.0094.81.9
5502,20250522,412,37.57047,126.94078,27.8,0.5,0.5,604,40.2,0.85.01527199.62.51418179.067.5077.04.0
5502,20250522,419,37.55236,126.98736,28.0,1.0,0.5,538,38.2,2.17.9143851.35.3103334.645.0166.21.2
5502,20250523,108,37.57142,126.9658,22.2,1.2,0.8,2115,36.0,2.89.20113140.04.4121870.070.0273.41.9
5502,20250523,412,37.57047,126.94078,21.0,1.5,1.0,2213,36.3,1.86.8225531.33.60215185.845.01143.34.0
5502,20250523,419,37.55236,126.98736,19.8,1.0,1.0,2225,38.0,3.38.8231982.85.7214955.267.5378.91.2
5502,20250524,108,37.57142,126.9658,19.3,4.3,2.4,105,53.0,3.18.2125350.04.6055650.050.0356.31.9
5502,20250524,412,37.57047,126.94078,18.1,4.0,2.5,200,55.1,1.47.40403108.93.00410101.5112.50119.84.0
5502,20250524,419,37.55236,126.98736,16.3,4.5,2.5,124,60.2,4.111.8102242.87.5102642.745.0454.51.2
5502,20250525,108,37.57142,126.9658,22.6,-99.9,-99.9,0,44.0,2.18.71408290.05.01314230.0270.01267.71.9
5502,20250525,412,37.57047,126.94078,22.6,-99.9,-99.9,1,43.6,0.87.61331329.42.51335322.0315.00310.04.0
5502,20250525,419,37.55236,126.98736,22.9,-99.9,-99.9,1,42.3,1.58.31214295.24.3000536.9225.00255.41.2
5502,20250526,108,37.57142,126.9658,26.2,-99.9,-99.9,0,36.0,1.76.71715290.04.01635270.0270.00270.11.9
5502,20250526,412,37.57047,126.94078,25.7,-99.9,-99.9,1,35.2,0.84.81636337.42.31340183.1315.00292.54.0
5502,20250526,419,37.55236,126.98736,25.8,-99.9,-99.9,1,35.7,1.35.01739236.33.2054776.4225.00179.71.2
